Domain,Item,Count_2015_2019,Count_2020_2024,Share_2015_2019_pct,Share_2020_2024_pct,Delta_Count,Delta_Share_pp,Rank_2020_2024_Count_in_Domain,Rank_2020_2024_Share_in_Domain
Region,Africa,79,48,16.5,12.5,-31,-4.0,3,3
Region,Americas,163,122,34.0,31.9,-41,-2.1,2,2
Region,Asia-Pacific,167,171,34.9,44.6,4,9.7,1,1
Region,Europe,70,42,14.6,11.0,-28,-3.6,4,4
SDG,SDG 1,58,184,12.1,48.0,126,35.9,9,9
SDG,SDG 2,90,179,18.8,46.7,89,27.9,10,10
SDG,SDG 3,112,224,23.4,58.5,112,35.1,4,4
SDG,SDG 5,42,159,8.8,41.5,117,32.7,15,15
SDG,SDG 6,91,170,19.0,44.4,79,25.4,12,12
SDG,SDG 7,62,143,12.9,37.3,81,24.4,16,16
SDG,SDG 8,73,187,15.2,48.8,114,33.6,8,8
SDG,SDG 9,65,164,13.6,42.8,99,29.2,13,13
SDG,SDG 10,62,162,12.9,42.3,100,29.4,14,14
SDG,SDG 11,104,247,21.7,64.5,143,42.8,1,1
SDG,SDG 12,115,214,24.0,55.9,99,31.9,5,5
SDG,SDG 13,137,240,28.6,62.7,103,34.1,2,2
SDG,SDG 14,62,175,12.9,45.7,113,32.8,11,11
SDG,SDG 15,122,211,25.5,55.1,89,29.6,6,6
SDG,SDG 16,57,188,11.9,49.1,131,37.2,7,7
SDG,SDG 17,76,230,15.9,60.1,154,44.2,3,3
PAA,Priority Action Area 1,87,221,18.2,57.7,134,39.5,4,4
PAA,Priority Action Area 2,148,281,30.9,73.4,133,42.5,3,3
PAA,Priority Action Area 3,162,281,33.8,73.4,119,39.6,3,3
PAA,Priority Action Area 4,168,285,35.1,74.4,117,39.3,2,2
PAA,Priority Action Area 5,261,306,54.5,79.9,45,25.4,1,1
Organization,NGOs,144,317,30.1,82.8,173,52.7,1,1
Organization,Higher Education,258,64,53.9,16.7,-194,-37.2,2,2
Organization,Other,53,18,11.1,4.7,-35,-6.4,3,3
Organization,City Government,25,17,5.2,4.4,-8,-0.8,4,4
Theme,Curriculum Development,182,227,38.0,59.3,45,21.3,1,1
Theme,Traditional Knowledge,117,215,24.4,56.1,98,31.7,2,2
Theme,Waste,107,191,22.3,49.9,84,27.6,3,3
Theme,Forests/Trees,90,182,18.8,47.5,92,28.7,4,4
Theme,Plants & Animals,106,180,22.1,47.0,74,24.9,5,5
Theme,Agriculture,98,165,20.5,43.1,67,22.6,6,6
Theme,Disaster Risk Reduction,56,150,11.7,39.2,94,27.5,7,7
Theme,Ecotourism,61,150,12.7,39.2,89,26.5,7,7
Theme,Arts,43,135,9.0,35.2,92,26.2,8,8
Audience,Community,313,294,65.3,76.8,-19,11.5,1,1
Audience,Higher,191,222,39.9,58.0,31,18.1,2,2
Audience,Youth (Informal),174,204,36.3,53.3,30,17.0,3,3
Audience,Secondary,146,158,30.5,41.3,12,10.8,4,4
Audience,Primary,127,136,26.5,35.5,9,9.0,5,5
Audience,Teacher Education,122,128,25.5,33.4,6,7.9,6,6
Audience,TVET,42,48,8.8,12.5,6,3.7,7,7
Ecosystem,Urban,253,219,52.82,57.18,-34,4.4,1,1
Ecosystem,Agriculture,120,129,25.05,33.68,9,8.6,2,2
Ecosystem,Forest,82,106,17.12,27.68,24,10.6,3,3
Ecosystem,Fresh Water,90,97,18.79,25.33,7,6.5,4,4
Ecosystem,Coastal,39,82,8.14,21.41,43,13.3,5,5
Ecosystem,Wetlands,58,74,12.11,19.32,16,7.2,6,6
Ecosystem,Mountain,50,73,10.44,19.06,23,8.6,7,7
Ecosystem,Grassland,60,36,12.53,9.4,-24,-3.1,8,8
Ecosystem,Dryland,40,28,8.35,7.31,-12,-1.0,9,9
